ID,ML,CHIP,TLP,ESM,HSPC,CHOL,PEG,TFR ,FRR,BUFFER,OUTPUT,SIZE,PDI
31OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,0.25,3.0,MQ,1,MEDIUM,0.295
32OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,2.5,3.0,MQ,1,SMALL,0.272
33OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,1.0,MQ,1,MEDIUM,0.409
34OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,4.4,MQ,1,SMALL,0.254
35OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1,SMALL,0.256
36OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1,SMALL,0.247
37OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1,SMALL,0.251
38OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1,MEDIUM,0.297
39OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1,SMALL,0.214
40OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,2.17,1.7,MQ,1,SMALL,0.2
41OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,2.17,1.7,MQ,1,SMALL,0.2
42OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,2.17,1.7,MQ,1,SMALL,0.203
01OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,0.58,1.6,MQ,1,BIG,0.349
02OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,2.17,1.6,MQ,1,BIG,0.263
03OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,0.58,4.4,MQ,1,MEDIUM,0.088
04OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,2.17,4.4,MQ,1,MEDIUM,0.065
